epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,11118.6,0.95778,0.54138,1.20331,0.88121,0.77257,0.83622,0.53492,1.20158,0.40499,1.36822,0.002971,0.002971,0.002971
144,11195.6,0.95597,0.53749,1.20084,0.8793,0.77435,0.83407,0.53295,1.20235,0.40506,1.36912,0.0029215,0.0029215,0.0029215
145,11272.8,0.96023,0.54162,1.20287,0.87188,0.78152,0.82065,0.53165,1.20415,0.40548,1.37088,0.002872,0.002872,0.002872
146,11350.2,0.95253,0.5346,1.2009,0.87565,0.78152,0.82448,0.53578,1.20427,0.40453,1.3716,0.0028225,0.0028225,0.0028225
147,11427.3,0.95143,0.53708,1.19991,0.86659,0.78367,0.82945,0.53947,1.20718,0.40473,1.37463,0.002773,0.002773,0.002773
148,11504.7,0.93944,0.52633,1.19753,0.85639,0.79045,0.82842,0.53658,1.2071,0.40401,1.37503,0.0027235,0.0027235,0.0027235
149,11582.2,0.9479,0.53839,1.20136,0.85445,0.78988,0.82859,0.5376,1.20805,0.40446,1.37639,0.002674,0.002674,0.002674
150,11659.7,0.95496,0.54277,1.20213,0.8282,0.81605,0.84659,0.53947,1.20783,0.40374,1.37614,0.0026245,0.0026245,0.0026245
151,11736.6,0.94436,0.52941,1.19839,0.8277,0.81605,0.84731,0.53991,1.20919,0.40405,1.37859,0.002575,0.002575,0.002575
152,11814.1,0.93832,0.53078,1.19299,0.84197,0.79238,0.83578,0.54153,1.21054,0.40436,1.38127,0.0025255,0.0025255,0.0025255
153,11891.4,0.95003,0.53847,1.20544,0.84159,0.79291,0.83373,0.53709,1.2104,0.40512,1.3815,0.002476,0.002476,0.002476
154,11968.6,0.94649,0.52767,1.19976,0.82968,0.81605,0.84885,0.54104,1.21014,0.40475,1.38195,0.0024265,0.0024265,0.0024265
155,12045.7,0.93651,0.53375,1.19852,0.85471,0.81408,0.85131,0.54017,1.21157,0.40504,1.38433,0.002377,0.002377,0.002377
156,12122.9,0.94069,0.52315,1.20195,0.83012,0.81605,0.85049,0.54073,1.21129,0.40488,1.38594,0.0023275,0.0023275,0.0023275
157,12200.9,0.94701,0.52674,1.2064,0.83172,0.81605,0.8494,0.54153,1.21162,0.40525,1.38692,0.002278,0.002278,0.002278
158,12278.3,0.94501,0.52906,1.19774,0.83139,0.81605,0.84666,0.53791,1.21202,0.4052,1.38763,0.0022285,0.0022285,0.0022285
159,12355.3,0.93964,0.51715,1.19416,0.83102,0.81605,0.84739,0.53958,1.21265,0.40568,1.38807,0.002179,0.002179,0.002179
160,12432.5,0.94085,0.51876,1.19051,0.83103,0.81605,0.84924,0.54023,1.2136,0.40583,1.38923,0.0021295,0.0021295,0.0021295
161,12509.6,0.93631,0.52241,1.19173,0.83048,0.81605,0.848,0.54051,1.21303,0.40524,1.3895,0.00208,0.00208,0.00208
162,12586.8,0.93861,0.51959,1.18817,0.83234,0.81605,0.84905,0.54117,1.21317,0.40591,1.39049,0.0020305,0.0020305,0.0020305
163,12664.3,0.93787,0.52071,1.19418,0.83514,0.81486,0.84889,0.54099,1.21425,0.40534,1.39172,0.001981,0.001981,0.001981
164,12741.5,0.93619,0.51753,1.19288,0.81117,0.83617,0.84781,0.54118,1.21421,0.40529,1.39185,0.0019315,0.0019315,0.0019315
165,12818.7,0.93723,0.51572,1.19579,0.81177,0.83633,0.84788,0.54119,1.21445,0.40481,1.39236,0.001882,0.001882,0.001882
166,12895.8,0.93705,0.51878,1.19129,0.81273,0.83714,0.84868,0.53974,1.21408,0.40384,1.39192,0.0018325,0.0018325,0.0018325
167,12973.1,0.93256,0.51495,1.1816,0.81154,0.83927,0.84878,0.54019,1.21393,0.40253,1.39152,0.001783,0.001783,0.001783
168,13050.7,0.93326,0.51556,1.18888,0.80911,0.83927,0.84873,0.54174,1.21341,0.40266,1.39114,0.0017335,0.0017335,0.0017335
169,13128.7,0.92241,0.50698,1.18338,0.80847,0.83927,0.84874,0.54187,1.21241,0.40188,1.39075,0.001684,0.001684,0.001684
170,13206.3,0.92909,0.51637,1.18377,0.79768,0.85349,0.85037,0.54113,1.21241,0.40256,1.39121,0.0016345,0.0016345,0.0016345
171,13283.4,0.9283,0.51296,1.18102,0.8525,0.8073,0.8519,0.54114,1.21172,0.4024,1.39044,0.001585,0.001585,0.001585
172,13360.7,0.93017,0.51521,1.18824,0.84186,0.78985,0.83983,0.54011,1.21145,0.40231,1.39039,0.0015355,0.0015355,0.0015355
173,13438.2,0.9318,0.51283,1.19085,0.84212,0.78957,0.84008,0.53827,1.2108,0.4017,1.38898,0.001486,0.001486,0.001486
174,13515.4,0.92407,0.50315,1.1882,0.84768,0.78584,0.83991,0.53836,1.21063,0.40127,1.38837,0.0014365,0.0014365,0.0014365
175,13592.8,0.92392,0.51089,1.18504,0.84747,0.786,0.84025,0.53834,1.20981,0.40074,1.38779,0.001387,0.001387,0.001387
176,13670.7,0.92069,0.50957,1.1813,0.84222,0.78999,0.83954,0.5385,1.20972,0.40083,1.38781,0.0013375,0.0013375,0.0013375
177,13748,0.92459,0.51278,1.18625,0.84202,0.78961,0.8398,0.53863,1.20849,0.40064,1.38677,0.001288,0.001288,0.001288
178,13824.9,0.92321,0.50991,1.18522,0.84201,0.78935,0.83501,0.53594,1.20826,0.40041,1.38661,0.0012385,0.0012385,0.0012385
179,13902.4,0.91964,0.50591,1.18079,0.84149,0.78908,0.835,0.53718,1.20767,0.40002,1.38655,0.001189,0.001189,0.001189
180,13979.8,0.91702,0.50243,1.18453,0.80725,0.8607,0.8502,0.5399,1.20798,0.40014,1.38724,0.0011395,0.0011395,0.0011395
181,14056.9,0.91924,0.50584,1.18264,0.84883,0.78448,0.83288,0.53769,1.20782,0.40056,1.38757,0.00109,0.00109,0.00109
182,14134.4,0.91267,0.4925,1.1765,0.85389,0.78421,0.83286,0.53769,1.20777,0.40057,1.38823,0.0010405,0.0010405,0.0010405
